what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530196971139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1530196980479
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1530196982181
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1530196983126
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1530196983277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530196986456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530196987187
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530196990222
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530196991142
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530196996274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530197000208
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1530197001325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1530197002225
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1530197002685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1530197008571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197010213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197010820
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197013672
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530197014608
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197019742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530197027297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1530197028953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1530197034906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197037353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197037964
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197040766
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530197041685
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197046868
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530197051597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1530197053626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1530197057154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197058682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197059317
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197062121
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530197063060
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197068019
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530197072352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1530197073817
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530197093865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197110119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197360751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197362027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197474520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1530197487491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197489585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197490492
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197493595
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530197494505
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530197499684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197508641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197514198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197514824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197515374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197697174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197767029
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530197767817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197769740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530197878806
