what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639263659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639267225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639272245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639275912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639279974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639281251
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1530639281513
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530639282981
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530639284597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639290011
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1530639290071
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530639290101
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530639290131
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530639290483
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1530639290510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639293203
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1530639293213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639294155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639301557
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1530639308041
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1530639308141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639343949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639730391
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1530639732086
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1530639734320
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530639734320
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1530639736085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639739781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639741098
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1530639741345
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530639742873
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530639743939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639749333
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530639749383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639761954
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1530639761974
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1530639765413
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1530639765505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639868955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639988670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639994608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530639997729
