what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1531481191082
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1531481191082
java.specification.name,sysinfo,,,"Java Platform API Specification",1531481191082
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1531481191082
java.specification.version,sysinfo,,,"1.6",1531481191082
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1531481191082
java.version,sysinfo,,,"1.6.0_23",1531481191082
java.vm.info,sysinfo,,,"mixed mode",1531481191082
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1531481191082
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531481191082
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1531481191082
java.vm.specification.version,sysinfo,,,"1.0",1531481191082
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1531481191082
java.vm.version,sysinfo,,,"19.0-b09",1531481191082
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1531481191254
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481192611
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481192642
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481192689
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481192689
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1531481192705
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1531481193173
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1531481194078
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481194078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531481194920
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1531481195092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481201744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481205809
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1531481205809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1531481205809
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1531481209452
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1531481209562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481211887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481212576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481214468
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1531481215045
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1531481215061
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1531481215076
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1531481215092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481216480
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481221623
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481221654
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531481227773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481234554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481237831
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531481241561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481269423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481729505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481765307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481957129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531481961266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483339154
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531483341600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483345566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483348680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483351474
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1531483352360
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1531483352371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483352410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483366106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483369733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483374549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531483375918
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1531483376774
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1531483376796
