what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1531233985698
java.vm.info,sysinfo,,,"mixed mode",1531233985698
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1531233985698
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531233985698
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1531233985698
java.vm.specification.version,sysinfo,,,"1.0",1531233985698
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1531233985698
java.vm.version,sysinfo,,,"19.0-b09",1531233985698
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1531233985914
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1531233986391
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531233989008
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1531233989435
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1531233989542
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1531233989546
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1531233989885
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1531233989909
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1531233989942
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1531233990023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531233992718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531233993786
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1531233994226
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1531233994248
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1531233994259
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1531233994259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531233996828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531233997038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234001428
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: CPU module not set.\r\nSEVERE: CPU module not set.\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1531234003787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234012499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234017985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234043894
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1531234049424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234049500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234051802
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1531234051806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1531234051806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234053296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234066324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234067473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234067708
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1531234067711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1531234067711
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1531234070156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531234071058
