what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1530626289253
java.specification.name,sysinfo,,,"Java Platform API Specification",1530626289253
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1530626289253
java.specification.version,sysinfo,,,"1.6",1530626289253
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1530626289253
java.version,sysinfo,,,"1.6.0_23",1530626289253
java.vm.info,sysinfo,,,"mixed mode",1530626289253
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1530626289253
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1530626289253
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1530626289253
java.vm.specification.version,sysinfo,,,"1.0",1530626289253
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1530626289253
java.vm.version,sysinfo,,,"19.0-b09",1530626289253
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1530626289363
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1530626290767
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1530626291344
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1530626291375
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530626292405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626292717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626293060
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1530626293387
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1530626293387
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1530626293387
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1530626293387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626293403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626295571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626305056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626307984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626310685
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1530626317034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626318204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626318469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626322088
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1530626326659
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1530626326659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530626328422
