what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1530712260980
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1530712260980
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1530712260980
java.specification.name,sysinfo,,,"Java Platform API Specification",1530712260980
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1530712260980
java.specification.version,sysinfo,,,"1.6",1530712260980
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1530712260980
java.version,sysinfo,,,"1.6.0_23",1530712260980
java.vm.info,sysinfo,,,"mixed mode",1530712260980
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1530712260980
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1530712260980
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1530712260980
java.vm.specification.version,sysinfo,,,"1.0",1530712260980
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1530712260980
java.vm.version,sysinfo,,,"19.0-b09",1530712260980
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1530712261027
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1530712261868
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1530712261879
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1530712262277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712264655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712264721
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1530712272209
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1530712272212
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1530712272213
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1530712272214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712272227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712275267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712278806
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1530712282402
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1530712282402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712282574
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1530712283663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712283805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712294587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712299935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712301263
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1530712301570
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530712303160
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1530712303640
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1530712303646
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, /cygdrive/c/Users/Francisco/Desktop/DE2_70_NIOS_VIOLA-JONES/Eclipse/Software/DE2_70_Viola-Jones/DE2_70_Viola-Jones.elf] return code: 139",1530712305881
error,log,,,"Downloading ELF Process failed",1530712305884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712305897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712311775
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530712312481
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1530712315645
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530712318869
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530712318897
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1530712325755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712328334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712329628
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1530712329882
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530712331376
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530712332344
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, /cygdrive/c/Users/Francisco/Desktop/DE2_70_NIOS_VIOLA-JONES/Eclipse/Software/DE2_70_Viola-Jones/DE2_70_Viola-Jones.elf] return code: 139",1530712333241
error,log,,,"Downloading ELF Process failed",1530712333241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712333248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712340639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712341498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712342863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712346073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712347670
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1530712347710
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530712347749
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1530712347869
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1530712347870
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1530712347870
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1530712347870
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1530712347870
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1530712347870
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1530712347870
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1530712347870
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1530712347870
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1530712347871
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1530712347871
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1530712347871
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1530712347871
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1530712347872
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1530712347872
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1530712347873
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1530712347873
