what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1526650571054
java.specification.name,sysinfo,,,"Java Platform API Specification",1526650571054
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1526650571054
java.specification.version,sysinfo,,,"1.6",1526650571054
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1526650571054
java.version,sysinfo,,,"1.6.0_23",1526650571054
java.vm.info,sysinfo,,,"mixed mode",1526650571054
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1526650571054
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1526650571054
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1526650571054
java.vm.specification.version,sysinfo,,,"1.0",1526650571054
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1526650571054
java.vm.version,sysinfo,,,"19.0-b09",1526650571054
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1526650571225
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1526650572740
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1526650572772
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1526650572787
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1526650572787
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1526650572803
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526650572974
error,log,,,"Unable to validate connection settings.",1526650580024
error,log,,,"Unable to validate connection settings.",1526650580024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650580040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650581429
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1526650586974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650587052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650596011
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526650597477
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1526650597946
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1526650597946
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1526650597946
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1526650597946
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1526650597962
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526650606555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650624424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650747407
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526650747407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650748191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650957853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650962854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650966732
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526650972244
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1526650973087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650974258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650975200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650979610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650982557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650985135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650991370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650994386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526650995624
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1526650995843
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526650997299
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526650998159
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Francisco/Desktop/DE2_70_D5M_NIOS/Eclipse/Software/DE2_70_D5M/DE2_70_D5M.elf] return code: 134",1526651003790
error,log,,,"Downloading ELF Process failed",1526651003790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651003790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651005261
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526651006796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651009018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651009033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651009552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651011762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651022512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651025403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651028389
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1526651034212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651034228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651034759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651037744
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526651041307
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526651042687
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526651045953
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526651051694
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526651054963
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526651060526
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526651063793
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526651068915
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Francisco/Desktop/DE2_70_D5M_NIOS/Eclipse/Software/DE2_70_D5M/DE2_70_D5M.elf] return code: 134",1526651074663
error,log,,,"Downloading ELF Process failed",1526651074663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651074663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651077918
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526651081447
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526651082811
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526651086123
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526651094086
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526651097354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651107917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526651255704
